MOD_LAI,RF_LAI
5.683871,0.0
5.517857,0.0
5.8483872,0.0
5.4666667,0.0
5.9548388,0.0
6.5666666,0.0
5.2774196,0.0
5.532258,0.0
6.516667,0.0
6.5741935,0.0
6.5,0.0
6.354839,0.0
5.6548386,0.0
5.2464285,0.0
3.9290323,0.0
3.36,0.0
4.822581,0.0
6.483333,0.0
6.167742,0.0
6.383871,0.0
6.58,0.0
6.448387,0.0
6.1866665,0.0
5.9741936,0.0
5.9258065,0.0
4.857143,0.0
3.4806452,0.0
4.4133334,0.0
6.216129,0.0
6.557506,0.0
6.4580646,0.0
6.534025,0.0
6.32,0.0
6.5664124,0.0
6.610495,0.0
6.33871,0.0
5.983871,0.0
4.6821427,0.0
2.5225806,0.0
4.68,0.0
6.6721497,0.0
6.23,0.0
6.416129,0.0
6.565703,0.0
6.565703,0.0
6.470968,0.0
6.1066666,0.0
6.0,0.0
6.096774,0.0
6.3357143,0.0
6.5612903,0.0
6.366667,0.0
6.032258,0.0
6.4666667,0.0
6.6,0.0
6.6,0.0
6.63,0.0
6.6786427,0.0
6.6786427,0.0
6.661497,0.0
6.2580647,0.0
6.0642858,0.0
4.8451614,0.0
4.2266665,0.0
5.9548388,0.0
6.6,0.0
6.6,0.0
6.6,0.0
6.6,0.0
6.6516128,0.0
6.8,0.0
6.680645,0.0
6.4774194,0.0
6.410714,0.0
6.5580645,0.0
6.6,0.0
6.5,0.0
6.5433335,0.0
6.6,0.0
6.6,0.0
6.5733333,0.0
6.496774,0.0
6.48,0.0
6.4774194,0.0
5.9774194,0.0
5.332143,0.0
4.290323,0.0
4.8933334,0.0
5.5451612,0.0
5.9933333,0.0
5.6741934,0.0
6.4580646,0.0
6.596667,0.0
5.983871,0.0
6.0266666,0.0
6.2225804,0.0
6.148387,0.0
5.8107142,0.0
5.248387,0.0
5.1466665,0.0
4.9451613,0.0
5.2766666,0.0
5.2645164,0.0
6.0774193,0.0
6.596667,0.0
6.7774196,0.0
6.8533335,0.0
6.632258,0.0
6.4,0.0
6.507143,0.0
6.4451613,0.0
6.12,0.0
6.0774193,0.0
6.2533336,0.0
6.322581,0.0
6.383871,0.0
6.556667,0.0
6.5741935,0.0
6.306667,0.0
6.387097,0.0
6.432258,0.0
5.375,0.0
5.209677,0.0
5.5133333,0.0
5.935484,0.0
6.193333,0.0
6.5741935,0.0
6.6,0.0
6.6,0.0
6.496774,0.0
6.1266665,0.0
6.319355,0.0
6.3774195,0.0
5.857143,0.0
6.145161,0.0
5.94,0.0
5.487097,0.0
6.24,0.0
6.5903225,0.0
6.6,0.0
6.6,0.0
6.7032256,0.0
6.806667,0.0
6.4129033,0.0
6.1741934,0.0
6.3464284,0.0
6.583871,0.0
6.6,0.0
6.6,0.0
6.6,0.0
6.6,0.0
6.6,0.0
6.6,0.0
6.6,0.0
6.6266665,0.0
6.6,0.0
6.5774193,0.0
6.2357144,0.0
5.616129,0.0
5.233333,0.0
5.870968,0.0
6.1833334,0.0
6.519355,0.0
6.6258063,0.0
6.63,0.0
6.803226,0.0
6.786667,0.0
6.303226,0.0
6.0258064,0.0
5.9714284,0.0
6.1354837,0.0
6.42,0.0
6.4,0.0
6.5,0.0
6.096774,0.0
6.2193546,0.0
6.596667,0.0
6.7,0.0
6.633333,0.0
6.3645163,0.0
6.3967743,0.0
6.573258,0.0
6.516282,0.0
5.633333,0.0
4.0225806,0.0
4.346667,0.0
4.970968,0.0
5.003226,0.0
5.576667,0.0
5.664516,0.0
5.9466667,0.0
6.0,0.0
5.851613,0.0
5.0214286,0.0
4.2774196,0.0
4.98,0.0
5.748387,0.0
6.3,0.0
6.580645,0.0
6.6,0.0
6.6,0.0
6.5741935,0.0
6.5,0.0
6.6354837,0.0
6.6,0.0
6.3107142,0.0
6.4225807,0.0
6.4933333,0.0
6.1064515,0.0
5.7,0.0
5.254839,0.0
5.354839,0.0
6.45,0.0
6.7,0.0
6.7,0.0
6.632258,0.0
6.4603744,0.0
6.4401693,0.0
6.4401693,0.0
6.4401693,0.0
6.4022846,0.0
6.231384,0.0
6.296208,0.0
6.371977,0.0
6.42712,0.0
6.5007844,0.0
6.466267,0.0
6.3088365,0.0
6.448387,0.0
6.5392857,0.0
6.5662484,0.0
6.233333,0.0
5.7387094,0.0
5.14,0.0
4.4225807,0.0
4.306452,0.0
6.0,0.0
6.6753173,0.0
6.6203394,0.0
6.2967744,0.0
6.1741934,0.0
6.1392856,0.0
5.712903,0.0
4.733333,0.0
3.064516,0.0
3.0133333,0.0
3.7225807,0.0
6.248387,0.0
6.673333,0.0
6.7,0.0
6.66,0.0
6.2806454,0.0
6.170968,0.0
6.4357142,0.0
6.2290325,0.0
5.2333336,0.0
3.032258,0.0
3.1533334,0.0
5.4129033,0.0
6.483871,0.0
6.5466666,0.0
6.6,0.0
6.3333335,0.0
6.0387096,0.0
6.051613,0.0
5.696429,0.0
4.751613,0.0
3.8133333,0.0
6.23871,0.0
6.6,0.0
6.354839,0.0
5.774194,0.0
5.9066668,0.0
6.535484,0.0
6.5266666,0.0
6.4580646,0.0
