MOD_LAI,RF_LAI,SAI
0.0,0.5267128066747647,0.9040246811879592
0.15714286,0.6470862384376538,0.9040246811879592
0.67741936,0.8862276623383494,0.9040246811879592
1.5533333,1.6789263062497455,0.9040246811879592
2.3903227,2.778537377030375,0.9040246811879592
2.8666666,4.205520842240556,0.9040246811879592
2.7967741,4.972135746533776,0.9040246811879592
2.8225806,4.947514549575406,0.9040246811879592
2.77,3.807744127191692,1.0218975517858364
1.8129033,2.377553325825376,1.2260441765760763
1.06,1.248995227804027,1.1773011372987126
0.63870966,0.8501384313345932,0.9040246811879592
